The __________ package contains classes that help in connecting to a database, sending SQL statements to the database, and processing the query request. |
connection.sql |db.sql |pkg.sql |java.sql |java.sql |
Which of the following is not a type of JDBC driver? |100% pure Java Driver |JDBC - net pure Java Driver |JDBC - Native API driver |JDBC - Native pure Java Driver |JDBC - Native pure Java Driver |
In JDBC __________ imports all Java classes that are concerned with Database connectivity. |javax.sql |java.mysql |java.sql |com.sql |java.sql |
Database programming using Java throws which of the following exception? |SQLException |ClassNotFoundException |None of these |Both of these |Both of these |
In the below statement, which type of query can be used with executeUpdate() method: statement.executeUpdate(query here)? |Insert, Update, Delete|Insert,Select, Delete |Only Select |Any Query |Insert, Update, Delete |
What is the purpose of the next() method? |To retain the next element in a series. |To retain the next table. |To retain the next record in a series. |None of the above |To retain the next record in a series. |
Native-protocol pure Java Driver converts _______ into the _______ directly. |JDBC calls, network protocol |ODBC class, network protocol |ODBC class, user calls |JDBC calls, user calls |JDBC calls, network protocol |
Choose the correct syntax for getConnection() method. |public static Connection getConnection(String url, String password) throws SQLException |public static Connection getConnection(String name, String password) throws SQLException |public static Connection getConnection(String url, String name, String password) throws SQLException |public static Connection getConnection(String url, String name) throws SQLException |public static Connection getConnection(String url, String name, String password) throws SQLException |
SQL stands for __________. |Structured Query Language |Sequential Query Language |Structured Question Language |Sequential Question Language |Structured Query Language |
_____________ is a table of data that represents data from the table. |MetaData |ResultSetMetaData |ResultSet |Statement |ResultSet |
Public class DriverManager extends __________. |Object |String |Connection |Statement |Object |
Which of the following methods is supported by the Statement interface? |public boolean execute(String query) |public ResultSet executeQuery(String query)|public int executeUpdate(String query) |All of the above |All of the above |
In the following statement, `rs` is an object of the __________ interface of the JDBC API: System.out.println(rs.getString(3)); |RowSet |Statement | Connection |ResultSet |ResultSet |
Which is the main component of the JDBC API? |DriverManager |Driver |Connection |All of these |All of these |
How many steps are used to connect any Java application with the database using JDBC? |5 |4 |3 |6 |5 |
ODBC minimum SQL grammar contains ________. |Stored procedure |Data, Time, and Timestamp only |Create or drop View |Insert, update, delete only |Insert, update, delete only |
